"","Site","bins","bin.lag","sqID","Quarter","taxnovel","funcnovel","Country","HydroBasin","TS_Length","Yrs_passed","Yr_pos","bin.lagS","Yrs_passedS","logYr_posS"
"G10003 Q4.G10003 Q4.1","G10003",1997,1,"G10003 Q4",4,FALSE,FALSE,"SWE",2080030160,16,0,1,-0.374789416551989,-1.20139918682609,-2.00227210389592
"G10003 Q4.G10003 Q4.2","G10003",1999,2,"G10003 Q4",4,FALSE,FALSE,"SWE",2080030160,16,2,2,0.48797983446387,-0.89267335740613,-1.16067756918438
"G10003 Q4.G10003 Q4.3","G10003",2000,1,"G10003 Q4",4,FALSE,FALSE,"SWE",2080030160,16,3,3,-0.374789416551989,-0.738310442696151,-0.668376325566249
"G10003 Q4.G10003 Q4.4","G10003",2002,2,"G10003 Q4",4,FALSE,FALSE,"SWE",2080030160,16,5,4,0.48797983446387,-0.429584613276193,-0.319083034472825
"G10003 Q4.G10003 Q4.5","G10003",2004,2,"G10003 Q4",4,FALSE,FALSE,"SWE",2080030160,16,7,5,0.48797983446387,-0.120858783856235,-0.0481501092455202
"G10003 Q4.G10003 Q4.6","G10003",2006,2,"G10003 Q4",4,FALSE,FALSE,"SWE",2080030160,16,9,6,0.48797983446387,0.187867045563723,0.173218209145301
"G10003 Q4.G10003 Q4.7","G10003",2008,2,"G10003 Q4",4,FALSE,FALSE,"SWE",2080030160,16,11,7,0.48797983446387,0.496592874983681,0.360382455503323
"G10003 Q4.G10003 Q4.8","G10003",2009,1,"G10003 Q4",4,FALSE,FALSE,"SWE",2080030160,16,12,8,-0.374789416551989,0.65095578969366,0.522511500238724
"G10003 Q4.G10003 Q4.9","G10003",2010,1,"G10003 Q4",4,FALSE,FALSE,"SWE",2080030160,16,13,9,-0.374789416551989,0.805318704403639,0.665519452763427
"G10003 Q4.G10003 Q4.10","G10003",2012,2,"G10003 Q4",4,FALSE,FALSE,"SWE",2080030160,16,15,10,0.48797983446387,1.1140445338236,0.79344442546603
"G10003 Q4.G10003 Q4.11","G10003",2013,1,"G10003 Q4",4,FALSE,FALSE,"SWE",2080030160,16,16,11,-0.374789416551989,1.26840744853358,0.909166639557555
"G10003 Q4.G10003 Q4.12","G10003",2014,1,"G10003 Q4",4,FALSE,FALSE,"SWE",2080030160,16,17,12,-0.374789416551989,1.42277036324355,1.01481274385685
"G10003 Q4.G10003 Q4.13","G10003",2015,1,"G10003 Q4",4,FALSE,FALSE,"SWE",2080030160,16,18,13,-0.374789416551989,1.57713327795353,1.11199773892117
"G10003 Q4.G10003 Q4.14","G10003",2016,1,"G10003 Q4",4,FALSE,FALSE,"SWE",2080030160,16,19,14,-0.374789416551989,1.73149619266351,1.20197699021487
"G10003 Q4.G10003 Q4.15","G10003",2017,1,"G10003 Q4",4,FALSE,FALSE,"SWE",2080030160,16,20,15,-0.374789416551989,1.88585910737349,1.28574566908416
"G10003 Q4.G10003 Q4.16","G10003",2018,1,"G10003 Q4",4,FALSE,FALSE,"SWE",2080030160,16,21,16,-0.374789416551989,2.04022202208347,1.36410603495027
"G10008 Q3.G10008 Q3.17","G10008",2008,1,"G10008 Q3",3,FALSE,FALSE,"SWE",2080030340,5,0,1,-0.374789416551989,-1.20139918682609,-2.00227210389592
"G10008 Q3.G10008 Q3.18","G10008",2009,1,"G10008 Q3",3,FALSE,FALSE,"SWE",2080030340,5,1,2,-0.374789416551989,-1.04703627211611,-1.16067756918438
"G10008 Q3.G10008 Q3.19","G10008",2010,1,"G10008 Q3",3,FALSE,FALSE,"SWE",2080030340,5,2,3,-0.374789416551989,-0.89267335740613,-0.668376325566249
"G10008 Q3.G10008 Q3.20","G10008",2013,3,"G10008 Q3",3,FALSE,FALSE,"SWE",2080030340,5,5,4,1.35074908547973,-0.429584613276193,-0.319083034472825
